Quality, Precision, Recall, F1 score
Advance, 0.5, 0.5, 0.5
ArmsToUpperBody, 0.667, 0.5, 0.571
Bind, 0.0, 0.0, 0.0
Condense+Enclose, 0.0, 0.0, 0.0
Direct, 0.286, 0.222, 0.25
Free+Light, 0.615, 0.421, 0.5
HeadDrop, 0.125, 0.333, 0.182
Jump, 0.636, 0.583, 0.609
Passive, 0.167, 0.2, 0.182
Retreat, 0.0, 0.0, 0.0
Rhythmicity, 0.167, 0.167, 0.167
Rotation, 0.5, 0.714, 0.588
Sink, 0.286, 0.286, 0.286
Spread, 0.545, 0.545, 0.545
Strong, 0.294, 0.556, 0.385
Sudden, 0.3, 0.158, 0.207
Twist+Back, 0.0, 0.0, 0.0
Up+Rise, 0.25, 0.4, 0.308
