Quality,Precision,Recall,F1 score
Jump,0.89,0.81,0.85
Twist+Back,0.69,0.85,0.76
Sink,0.62,0.79,0.69
Rhythmicity,0.59,0.72,0.65
Spread,0.55,0.76,0.64
Head-drop,0.60,0.66,0.63
Rotation,0.66,0.60,0.63
Free+Light,0.45,0.94,0.61
Up+Rise,0.67,0.54,0.60
Condense+Enclose,0.44,0.84,0.58
ArmsToUpperBody,0.67,0.54,0.60
Advance,1.00,0.38,0.55
Retreat,0.50,0.59,0.54
Passive,0.40,0.85,0.54
Bind,0.44,0.61,0.51
Direct,0.56,0.49,0.52
Sudden,0.61,0.41,0.49
Strong,0.29,0.42,0.34
Average/SD,0.59/0.17,0.65/0.17,0.60/0.11
